q,p,lo,hi,coverage,n_local,method,cond_number
884,1,0.580721712423103,0.717199482439906,0.1364983912991358,708,interval,1447109.224810274
885,0,0.434486378438014,0.80247327986131,0.36818621872868784,1000,interval_capped,2057795.445629042
885,1,0.337836416595311,0.893638064988914,0.5558856279509413,1000,interval_capped,1258561.790862742
886,0,0.184799379227634,0.719571457180119,0.5350617331797879,1000,interval_capped,1247074.4496084976
886,1,0.744296948503908,0.757877587712858,0.013582691192912964,72,interval,1149333.4631848722
887,0,0.883962472747086,0.894921382775323,0.010964845838474853,46,interval,1544812.4721722777
887,1,0.159042542365692,0.164953365140603,0.005911715878199853,33,interval,1198344.3248976849
888,0,0.119570405323877,0.396838377698222,0.2774181524620366,1000,interval_capped,1627744.1924620864
888,1,0.153105982709974,0.969081845405204,0.8160991536065577,1000,interval_capped,2560834.2964985594
889,0,0.500834522357138,0.867370018373544,0.366734027179102,1000,interval_capped,1794888.6113931686
889,1,0.270124712402056,0.322642543715137,0.05252576656163378,268,interval,2370179.42143028
890,0,0.114972480715153,0.218907551685228,0.1039913666104941,504,interval,2401371.624101255
890,1,0.756936240932317,0.832293427858332,0.07536857311606787,383,interval,1445972.4684236369
891,0,0.0181668068760519,0.181499605744619,0.1634212668363852,788,interval,1053411.983837668
891,1,0.128884072283409,0.306603382401816,0.1777461628437225,882,interval,2202569.655762454
892,0,0.129675346727541,0.951577114993488,0.8223469451054322,1000,interval_capped,2662319.118650674
892,1,0.453424344574712,0.994712121656608,0.5413695636473791,1000,interval_capped,2301356.8372894283
893,0,0.0469561258708965,0.768715996224281,0.7221508060957775,1000,interval_capped,2200086.8851308823
893,1,0.0607776885395728,0.816547399462337,0.7558839049089757,1000,interval_capped,1038873.5909046824
894,0,0.0645480973620327,0.883433621421077,0.8193290671728033,1000,interval_capped,2079193.9446731224
894,1,0.0437261723399965,0.556147535571188,0.5124987881891404,1000,interval_capped,1855023.7519226752
895,0,0.577282826584132,0.902867338960921,0.32576086275076493,1000,interval_capped,2655041.730043171
895,1,0.526072993145456,0.60988195524233,0.08382162531865149,421,interval,1428453.5374810295
896,0,0.965697236600213,0.993935782974946,0.028253841568528823,146,interval,1248747.5487124512
896,1,0.0415929122552297,0.868994583332103,0.8275266883852581,1000,interval_capped,1114728.963642674
897,0,0.860284119073544,0.988318133759655,0.1281033633360414,644,interval,1352612.3061379008
897,1,0.384486995745661,0.451631618897353,0.06715476845397066,353,interval,1561305.9935819996
898,0,0.0857825123900161,0.69788111024405,0.6124301364025162,1000,interval_capped,1558497.3964335357
898,1,0.360025437381284,0.951344917350686,0.5914088261386997,1000,interval_capped,1000581.8908187264
899,0,0.416010802550621,0.646571545893181,0.23068562481501034,1000,interval_capped,2261337.394987162
899,1,0.0580378878707903,0.83011651453287,0.7721952848646684,1000,interval_capped,1759884.5425255888
900,0,0.131344542929544,0.28558443679189,0.15432343672734922,744,interval,1705785.8728017837
900,1,0.749674223531029,0.89603268226586,0.14638057295239906,749,interval,1012966.336148331
901,0,0.323083331599136,0.353384492143063,0.03031757293699454,165,interval,1316521.9836481377
901,1,0.033272600303554,0.618448778689404,0.5852645963251775,1000,interval_capped,1559733.525871965
902,0,0.0803827492561912,0.0942113654608974,0.013836106369460865,59,interval,1942951.716342177
902,1,0.613290502214987,0.933112422700149,0.31987024438522066,1000,interval_capped,1408067.2986813663
903,0,0.251079022601832,0.361139922303821,0.11012051335093345,568,interval,2203193.777953822
903,1,0.0639501856405836,0.158587704681645,0.09465181841742996,483,interval,1458206.5685399347
904,0,0.792824611763037,0.848480297202064,0.055685830917598475,270,interval,1304431.9457522258
904,1,0.463171673273303,0.509858706230866,0.046694087194218414,225,interval,1373083.1440322415
905,0,0.514146894177628,0.931360070275077,0.41743915643998847,1000,interval_capped,1122054.486473263
905,1,0.0964897746055479,0.29941828730857,0.20295917444488157,1000,interval_capped,1891429.364054994
906,0,0.0831612349564848,0.874051450676182,0.7913185953876917,1000,interval_capped,1013088.996700959
906,1,0.460497737363712,0.827537679084976,0.36709540008832764,1000,interval_capped,1735153.809611413
907,0,0.148676396735722,0.667710295904878,0.5193150299316621,1000,interval_capped,1432935.6308344477
907,1,0.108118056617351,0.581305737706844,0.4732591779843128,1000,interval_capped,1785510.418563045
908,0,0.364367399973908,0.84409302340528,0.479985463165395,1000,interval_capped,1584264.8655237898
908,1,0.422542221880505,0.815189178966417,0.39270628457754786,1000,interval_capped,1885049.4058382148
909,0,0.0709028806736374,0.953463457080614,0.8830386086283795,1000,interval_capped,1316269.8079099173
909,1,0.193984834307493,0.334738851630094,0.14077528472996204,685,interval,1214315.665526617
910,0,0.649298906828956,0.691740063074177,0.042464144174595146,230,interval,1179102.3347698874
910,1,0.0763614267061993,0.428323575385927,0.35201532884846487,1000,interval_capped,2034509.1893132569
911,0,0.855952576296403,0.880700827902839,0.024761656308625885,119,interval,1572853.7116596252
911,1,0.844326093946931,0.978335526145988,0.13402968052474606,660,interval,1546287.914319195
912,0,0.0791347896847692,0.460854924567901,0.3819268906899403,1000,interval_capped,1277827.9770408876
912,1,0.259125718360743,0.427908776566574,0.16880856069679212,881,interval,1247682.3067004432
913,0,0.688437047841815,0.713758788633791,0.02533545612021995,104,interval,2416575.839010742
913,1,0.447992018271825,0.695462961551124,0.24750833521638793,1000,interval_capped,1055077.256594098
914,0,0.000480388412960167,0.280257634222248,0.2799287850258441,1000,interval_capped,1378687.110598418
914,1,0.295052550077792,0.688259338273248,0.3932662002754858,1000,interval_capped,2321691.0485404916
915,0,0.320733515022821,0.362202287076969,0.041491233299023225,231,interval,2863167.439890912
915,1,0.509592844922475,0.625718442269575,0.11614314349200439,585,interval,1805274.492592708
916,0,0.184798838803496,0.523021028880247,0.3384053855527016,1000,interval_capped,982304.7596735572
916,1,0.426066063040162,0.947703306561859,0.5217160609648058,1000,interval_capped,1823379.428293574
917,0,0.587467117520869,0.863019690512152,0.2757018239459501,1000,interval_capped,1029890.6388060811
917,1,0.0893486154022222,0.917149570474001,0.8279260327104869,1000,interval_capped,2612657.8375944854
918,0,0.138816166676886,0.754272010103732,0.6157892004018498,1000,interval_capped,2261242.8451783014
918,1,0.271526472499461,0.591356479620054,0.31987833224251216,1000,interval_capped,1049485.838492959
919,0,0.606323327266374,0.790916653400873,0.18469330970515374,915,interval,1704848.4906576439
919,1,0.0609852211786254,0.543398821401058,0.48248649111924397,1000,interval_capped,1429433.7336978149
920,0,0.30619525049623,0.952948700649956,0.6471037592392911,1000,interval_capped,1546019.7091407776
920,1,0.266026817989482,0.829524298243778,0.5635826226231424,1000,interval_capped,1840782.0089925968
921,0,0.54092383318343,0.809317071898897,0.2685386118711942,1000,interval_capped,1907096.598322068
921,1,0.304758599201209,0.50148661241671,0.19675773808500008,1000,interval_capped,1766107.8898918722
922,0,0.0971588407724055,0.102813025863135,0.005657247637065013,39,interval,1736718.0553705287
922,1,0.817394586953753,0.986295031608367,0.1689259648822299,842,interval,1516570.186783683
923,0,0.308658098758851,0.574328014266212,0.2658138135957925,1000,interval_capped,1677237.323478593
923,1,0.621196176950147,0.664187359256451,0.04299767811370219,228,interval,1348111.9390166434
924,0,0.306830377006756,0.853014850489384,0.5464803101471407,1000,interval_capped,1401411.1674159865
924,1,0.226279445584564,0.818662523750939,0.5924725850413957,1000,interval_capped,1127567.262488946
925,0,0.579089831239557,0.895795584707431,0.31687729472963944,1000,interval_capped,1532044.7677681553
925,1,0.180602849653544,0.61446987710544,0.4339325831425176,1000,interval_capped,1233553.859562162
926,0,0.0464143861056316,0.637835303421541,0.5917412559560508,1000,interval_capped,1981059.0732168825
926,1,0.718701457550542,0.736182556846924,0.017483740625325383,99,interval,1289067.2587233114
