,architecture,layer_width,n_hidden_channels,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
279,fno_swim,256,32,1,32,1e-06,0.012703141781844335,0.013287818297131689,0.013098484538418253,17.955771489068866,606931069
280,fno_swim,2048,16,4,8,1e-10,0.0008641337606622091,0.001525481730149588,0.001533486379031578,246.32163001596928,489194313
281,fno_swim,256,32,4,8,1e-10,0.01289573136137949,0.013487846680785306,0.013500356542230755,63.872791374102235,599391743
282,fno_swim,2048,16,1,16,1e-06,0.001636404673790735,0.0022922660883641127,0.002307240955791426,61.493331897072494,420724275
283,fno_swim,1024,16,2,16,1e-10,0.00246630833515615,0.0031141673316269548,0.0031157929752094866,51.08267368841916,584241314
284,fno_swim,256,16,1,8,1e-08,0.014071100807243615,0.014635892580334233,0.014414886891431637,6.811642585322261,903329579
285,fno_swim,512,16,1,32,1e-10,0.006105206052578344,0.006757354940643422,0.006729376080584467,13.40633905492723,704936781
286,fno_swim,2048,32,1,16,1e-10,0.0008283228077270573,0.001413727056717021,0.0014088860709546983,119.27766584046185,340596459
287,fno_swim,512,32,2,8,1e-08,0.0060012078380399046,0.006659278132347262,0.006626581398204953,48.54503961466253,275854434
288,fno_swim,256,32,1,8,1e-06,0.013819869820036414,0.014654549140517717,0.014560927131323917,13.428306504152715,910918171
289,fno_swim,256,16,1,32,1e-06,0.013816972473164494,0.014483792954967854,0.014383455131787666,7.708136638626456,364667039
290,fno_swim,512,16,1,16,1e-06,0.005984574537548036,0.006691727053165823,0.0066417844786098666,11.76410951372236,648810328
291,fno_swim,2048,16,4,32,1e-10,0.0009064288852984339,0.001596697433823719,0.0016115477380228634,260.914255566895,549886628
292,fno_swim,1024,16,1,16,1e-08,0.002549290893325504,0.0032131453712723516,0.0031969410082698375,25.20076085627079,266703493
293,fno_swim,1024,16,4,32,1e-06,0.002975151743508447,0.003846391228453161,0.0038200376234843497,114.9960305467248,310994751
294,fno_swim,512,32,1,16,1e-08,0.00581732827237696,0.006420639779876975,0.006350889117507832,23.740169095806777,930919031
295,fno_swim,2048,16,2,8,1e-08,0.0009329024530694886,0.0016198478335085651,0.0016287254611702545,119.95833947509527,163152819
296,fno_swim,2048,16,2,8,1e-10,0.0008325720281895127,0.0014331485904660846,0.001435201900748804,123.38006643485278,42429856
